"","date","cum_deaths","new_deaths"
"1","2020-03-01",0,0
"2","2020-03-02",0,0
"3","2020-03-03",0,0
"4","2020-03-04",0,0
"5","2020-03-05",0,0
"6","2020-03-06",0,0
"7","2020-03-07",0,0
"8","2020-03-08",0,0
"9","2020-03-09",0,0
"10","2020-03-10",0,0
"11","2020-03-11",0,0
"12","2020-03-12",0,0
"13","2020-03-13",0,0
"14","2020-03-14",2,2
"15","2020-03-15",6,4
"16","2020-03-16",10,4
"17","2020-03-17",18,8
"18","2020-03-18",32,14
"19","2020-03-19",39,7
"20","2020-03-20",68,29
"21","2020-03-21",95,27
"22","2020-03-22",142,47
"23","2020-03-23",183,41
"24","2020-03-24",264,81
"25","2020-03-25",381,117
"26","2020-03-26",502,121
"27","2020-03-27",645,143
"28","2020-03-28",935,290
"29","2020-03-29",1180,245
"30","2020-03-30",1512,332
"31","2020-03-31",1929,417
"32","2020-04-01",2415,486
"33","2020-04-02",2963,548
"34","2020-04-03",3716,753
"35","2020-04-04",4535,819
"36","2020-04-05",5335,800
"37","2020-04-06",6149,814
"38","2020-04-07",7185,1036
"39","2020-04-08",8138,953
"40","2020-04-09",9166,1028
"41","2020-04-10",10162,996
"42","2020-04-11",11159,997
"43","2020-04-12",12116,957
"44","2020-04-13",12998,882
"45","2020-04-14",14001,1003
"46","2020-04-15",14937,936
"47","2020-04-16",15669,732
"48","2020-04-17",16473,804
"49","2020-04-18",17141,668
"50","2020-04-19",17793,652
"51","2020-04-20",18412,619
"52","2020-04-21",19040,628
"53","2020-04-22",19647,607
"54","2020-04-23",20212,565
"55","2020-04-24",20759,547
"56","2020-04-25",21326,567
"57","2020-04-26",21804,478
"58","2020-04-27",22267,463
"59","2020-04-28",22777,510
"60","2020-04-29",23287,510
"61","2020-04-30",23616,329
"62","2020-05-01",23841,225
"63","2020-05-02",24035,194
"64","2020-05-03",24576,541
"65","2020-05-04",24788,212
"66","2020-05-05",25028,240
"67","2020-05-06",25956,928
"68","2020-05-07",26206,250
"69","2020-05-08",26358,152
"70","2020-05-09",26584,226
"71","2020-05-10",26798,214
"72","2020-05-11",27003,205
"73","2020-05-12",27282,279
"74","2020-05-13",27448,166
"75","2020-05-14",27617,169
"76","2020-05-15",27755,138
"77","2020-05-16",27953,198
"78","2020-05-17",28168,215
"79","2020-05-18",28302,134
"80","2020-05-19",28437,135
"81","2020-05-20",28540,103
"82","2020-05-21",28663,123
"83","2020-05-22",28802,139
"84","2020-05-23",28900,98
"85","2020-05-24",29046,146
"86","2020-05-25",29138,92
"87","2020-05-26",29241,103
"88","2020-05-27",29339,98
"89","2020-05-28",29438,99
"90","2020-05-29",29535,97
"91","2020-05-30",29612,77
"92","2020-05-31",29699,87
"93","2020-06-01",29766,67
"94","2020-06-02",29847,81
"95","2020-06-03",29918,71
"96","2020-06-04",30011,93
"97","2020-06-05",30066,55
"98","2020-06-06",30123,57
"99","2020-06-07",30183,60
"100","2020-06-08",30239,56
"101","2020-06-09",30309,70
"102","2020-06-10",30376,67
"103","2020-06-11",30431,55
"104","2020-06-12",30511,80
"105","2020-06-13",30565,54
"106","2020-06-14",30605,40
"107","2020-06-15",30645,40
"108","2020-06-16",30683,38
"109","2020-06-17",30722,39
"110","2020-06-18",30767,45
"111","2020-06-19",30816,49
"112","2020-06-20",30839,23
"113","2020-06-21",30884,45
"114","2020-06-22",30934,50
"115","2020-06-23",30970,36
"116","2020-06-24",31001,31
"117","2020-06-25",31029,28
"118","2020-06-26",31075,46
"119","2020-06-27",31105,30
"120","2020-06-28",31137,32
"121","2020-06-29",31143,6
"122","2020-06-30",31776,633
"123","2020-07-01",31791,15
"124","2020-07-02",31814,23
"125","2020-07-03",31836,22
"126","2020-07-04",31860,24
"127","2020-07-05",31895,35
"128","2020-07-06",31911,16
"129","2020-07-07",31934,23
"130","2020-07-08",31945,11
"131","2020-07-09",31979,34
"132","2020-07-10",32004,25
"133","2020-07-11",32019,15
"134","2020-07-12",32029,10
"135","2020-07-13",32075,46
"136","2020-07-14",32092,17
"137","2020-07-15",32115,23
"138","2020-07-16",32133,18
"139","2020-07-17",32147,14
"140","2020-07-18",32167,20
"141","2020-07-19",32187,20
